algo,cluster_id,lat,long,n_points
dbscan,40.0,45.70982530434783,4.962496086956522,23
dbscan,41.0,45.71206604761905,4.835302190476191,21
dbscan,42.0,45.676731,4.89839747368421,19
dbscan,43.0,45.76651464705883,4.994478279411765,68
dbscan,44.0,45.73580561111111,4.931916444444444,36
dbscan,45.0,45.721379,4.749441,19
dbscan,46.0,45.81153792307692,4.914545076923077,13
dbscan,47.0,45.809387422018354,4.972082706422018,109
dbscan,48.0,45.8237470625,4.956272583333333,48
dbscan,49.0,45.807072,4.902461,154
dbscan,50.0,45.76679449567367,4.982913032138442,809
dbscan,51.0,45.66549978205128,4.88768141025641,78
dbscan,52.0,45.789007230769236,4.912695538461539,13
dbscan,53.0,45.78529719148936,5.003427872340426,47
dbscan,54.0,45.79858607407407,4.777957370370371,27
dbscan,55.0,45.812480461538456,4.794506307692308,13
dbscan,56.0,45.705263714285714,4.9895780952380955,21
dbscan,57.0,45.70527,4.9170950625,16
dbscan,58.0,45.822565499999996,4.7975604,10
dbscan,1001.0,45.733795846153846,4.884633923076923,13
dbscan,1002.0,45.76239687535954,4.9246102023010545,1043
dbscan,1003.0,45.73842762500001,4.893663208333334,24
dbscan,1004.0,45.701416202247195,4.809028550561798,89
dbscan,1005.0,45.75798558333333,4.909445416666666,12
dbscan,1006.0,45.784929,4.88717146875,32
dbscan,1007.0,45.78459911764706,4.881796450980392,51
dbscan,1008.0,45.72409705882353,4.880960470588235,17
dbscan,1009.0,45.79753215023474,4.831901892018779,426
dbscan,1010.0,45.7349836,4.857674950000001,20
dbscan,1011.0,45.73242615348837,4.864890623255814,215
dbscan,1012.0,45.70968891037736,4.873493778301887,212
dbscan,1013.0,45.77907615384615,4.881114538461539,13
dbscan,1014.0,45.73388720353982,4.872496,113
dbscan,1015.0,45.767678230769235,4.767034076923077,13
dbscan,1016.0,45.78497297727272,4.7939732954545455,44
dbscan,1017.0,45.73985522033898,4.915996983050847,59
dbscan,1018.0,45.71815046522235,4.894277941847206,877
dbscan,1019.0,45.78846968965517,4.8785377241379315,29
dbscan,1020.0,45.737637962962964,4.805952296296296,27
dbscan,1021.0,45.727343075,4.9199494999999995,40
dbscan,1022.0,45.7887515,4.77631775,12
dbscan,1023.0,45.71641727149321,4.810368552036199,221
dbscan,1024.0,45.76098815909091,4.778464727272728,176
dbscan,1025.0,45.794370820000005,4.84914936,50
dbscan,1026.0,45.766434302158274,4.906987525179856,139
dbscan,1027.0,45.75769988235294,4.899120470588236,17
dbscan,1028.0,45.76191766666667,4.901837538461538,39
dbscan,1029.0,45.756046193548386,4.798482129032259,62
dbscan,1030.0,45.78745377992278,4.796606405405405,259
dbscan,1031.0,45.779501399999994,4.761331266666668,15
dbscan,1032.0,45.765828533333334,4.793196044444445,45
dbscan,1033.0,45.765743215311005,4.763517755980861,418
dbscan,1034.0,45.78563153333333,4.894548053333333,75
dbscan,1035.0,45.77617849112426,4.768278130177515,169
dbscan,1036.0,45.7971174923339,4.8427555911413975,587
dbscan,1037.0,45.7384772,4.8873041,20
dbscan,1038.0,45.720767277486914,4.875823963350785,191
dbscan,1039.0,45.7427868,4.7994745000000005,10
dbscan,1040.0,45.736047875000004,4.8457262638888885,72
dbscan,1041.0,45.72536895588235,4.872916382352941,68
dbscan,1042.0,45.815741413043476,4.847683054347827,92
dbscan,1043.0,45.79239452941176,4.794783411764706,17
dbscan,1044.0,45.720726272727276,4.919196374331551,187
dbscan,1045.0,45.721006933333335,4.898043533333333,15
dbscan,1046.0,45.74873392307693,4.811601692307692,26
dbscan,1047.0,45.733074,4.78958,13
dbscan,1048.0,45.80339928571429,4.859498142857142,14
dbscan,1049.0,45.71590192857143,4.897812357142857,14
dbscan,1050.0,45.71317656666667,4.901315100000001,30
dbscan,1051.0,45.768365315789474,4.782061473684211,19
dbscan,1052.0,45.728766589473686,4.853685515789474,95
dbscan,1053.0,45.7567754893617,4.913416957446809,47
dbscan,1054.0,45.78509118181818,4.7851324545454546,11
dbscan,1055.0,45.7815705,4.820709055555556,18
dbscan,1056.0,45.7757765,4.775589,10
dbscan,1057.0,45.74156693333334,4.907036933333334,15
dbscan,1058.0,45.73638957971014,4.797552101449275,69
dbscan,1059.0,45.717917467741934,4.833502645161291,62
dbscan,1060.0,45.722866599999996,4.9004465,10
dbscan,1061.0,45.707078,4.880526,11
dbscan,1062.0,45.7207155,4.911991071428572,14
dbscan,1063.0,45.78658566666667,4.8388290000000005,9
dbscan,1064.0,45.721114794117646,4.879435985294117,68
dbscan,1065.0,45.76079116666667,4.797651583333334,12
dbscan,1066.0,45.70465930769231,4.8131696153846155,13
dbscan,1067.0,45.711798,4.869582,14
dbscan,1068.0,45.74215621052631,4.892064684210527,19
dbscan,1069.0,45.781549000000005,4.78334625,12
dbscan,1070.0,45.76484352941176,4.7806591764705875,17
dbscan,1071.0,45.74057405,4.792592633333333,60
dbscan,1072.0,45.81136148214286,4.8422021964285715,56
dbscan,1073.0,45.77160083333333,4.889702166666667,12
dbscan,1074.0,45.71467725,4.8828387,20
dbscan,1075.0,45.7771889375,4.7908185625,16
dbscan,1076.0,45.778171,4.786798,10
dbscan,1077.0,45.78506591666667,4.89957325,12
dbscan,1078.0,45.7669042,4.9127786,10
dbscan,1079.0,45.79054911111111,4.8463718333333325,18
dbscan,1080.0,45.798148,4.8662691538461536,13
dbscan,1081.0,45.81675809090909,4.840807272727273,11
dbscan,1082.0,45.757433,4.918956,43
dbscan,1084.0,45.781748330346474,4.873052657108722,3348
dbscan,1085.0,45.73885879411765,4.87606605882353,34
dbscan,1086.0,45.74523045479833,4.870517012517385,719
dbscan,1087.0,45.74915987700535,4.8028964705882355,187
dbscan,1088.0,45.774559996633,4.8060092671156,891
dbscan,1089.0,45.73890716,4.82533548,25
dbscan,1090.0,45.77926925157233,4.877872940251573,318
dbscan,1091.0,45.72809628571429,4.830611807142857,420
dbscan,1092.0,45.73699541515151,4.838903293939394,330
dbscan,1093.0,45.745997826373625,4.842337276923077,455
dbscan,1094.0,45.723356983870964,4.824567661290323,62
