cluster_id,convex_hull
40.0,"[[45.719152, 4.914005], [45.723873, 4.916115], [45.722544, 4.921741], [45.717229, 4.922819], [45.718166, 4.9155]]"
41.0,"[[45.746907, 4.80654], [45.747, 4.8], [45.75, 4.798], [45.753167, 4.801333], [45.75413, 4.803267], [45.754222, 4.803557], [45.754198, 4.803718], [45.753907, 4.804115], [45.752573, 4.804675]]"
42.0,"[[45.778209, 4.870129], [45.780736, 4.868822], [45.781494, 4.868927], [45.782164, 4.869065], [45.782953, 4.869727], [45.782905, 4.870631], [45.781972, 4.871567], [45.781661, 4.871725], [45.780166, 4.871333], [45.778261, 4.870183]]"
43.0,"[[45.775333, 4.848333], [45.774898, 4.848221], [45.7755, 4.8465], [45.775694, 4.846091], [45.777251, 4.845378], [45.77982, 4.844496], [45.780841, 4.84488], [45.779394, 4.846788], [45.778755, 4.84743], [45.777605, 4.848472], [45.777442, 4.848505]]"
44.0,"[[45.767582, 4.825991], [45.76741, 4.82536], [45.767583, 4.825027], [45.767882, 4.824575], [45.768069, 4.824408], [45.768289, 4.824318], [45.769468, 4.824113], [45.770531, 4.824521], [45.770815, 4.825583], [45.770471, 4.826474], [45.769879, 4.827192], [45.769534, 4.827259], [45.7686, 4.826667], [45.768432, 4.82656], [45.767672, 4.826066]]"
45.0,"[[45.758878, 4.833329], [45.758955, 4.833358], [45.759147, 4.833769], [45.759619, 4.834847], [45.759471, 4.835042], [45.759297, 4.835153], [45.758438, 4.835634], [45.758211, 4.835743], [45.758152, 4.835743], [45.757697, 4.835641], [45.757402, 4.835511], [45.756951, 4.834585], [45.756955, 4.834441], [45.757301, 4.834184], [45.757796, 4.833886], [45.758111, 4.833713]]"
46.0,"[[45.735436, 4.814929], [45.735252, 4.813619], [45.735758, 4.812054], [45.73647, 4.811829], [45.736565, 4.811974], [45.737075, 4.812775], [45.737666, 4.8145], [45.737818, 4.814972], [45.737982, 4.815852], [45.737488, 4.816453], [45.73695, 4.816669], [45.735751, 4.816882]]"
47.0,"[[45.778667, 4.805], [45.778888, 4.803611], [45.780349, 4.802076], [45.783448, 4.803475], [45.784072, 4.804598], [45.783933, 4.806358], [45.782556, 4.807315], [45.781302, 4.807502], [45.778807, 4.80669]]"
48.0,"[[45.836095, 4.844083], [45.826362, 4.839831], [45.833358, 4.837941], [45.83638, 4.838255], [45.838307, 4.840346]]"
49.0,"[[45.750466, 4.832844], [45.750479, 4.834804], [45.750381, 4.835057], [45.749977, 4.835586], [45.748854, 4.836773], [45.747611, 4.835121], [45.747315, 4.832735], [45.74995, 4.832808]]"
