cluster_id,convex_hull
80.0,"[[45.733016, 4.951447], [45.733503, 4.95161], [45.733505, 4.952177], [45.733103, 4.95203]]"
81.0,"[[45.835763, 4.836447], [45.83463, 4.835958], [45.835625, 4.835191], [45.836605, 4.83468], [45.836259, 4.835711], [45.836072, 4.836019]]"
82.0,"[[45.834753, 4.83349], [45.834899, 4.833297], [45.834248, 4.834628], [45.834219, 4.834671], [45.834656, 4.833641]]"
83.0,"[[45.796886, 4.780138], [45.798293, 4.776096], [45.799277, 4.777047], [45.799277, 4.77705], [45.799083, 4.777752], [45.799011, 4.777944], [45.796977, 4.780413], [45.796955, 4.780433]]"
84.0,
85.0,"[[45.845338, 4.836997], [45.845061, 4.837061], [45.844922, 4.836905], [45.844896, 4.836704], [45.844911, 4.836671], [45.844967, 4.836639], [45.84503, 4.836693], [45.845297, 4.836922]]"
86.0,"[[45.843888, 4.836666], [45.84273, 4.836333], [45.842963, 4.836047], [45.843636, 4.836199]]"
87.0,"[[45.843888, 4.836666], [45.844391, 4.836688], [45.844343, 4.836886], [45.844166, 4.836944]]"
88.0,"[[45.800354, 4.769762], [45.800666, 4.769666], [45.802829, 4.769976], [45.802851, 4.770029], [45.800833, 4.769833]]"
89.0,"[[45.799922, 4.764163], [45.800036, 4.764102], [45.800136, 4.76413], [45.800283, 4.764688], [45.799661, 4.766336], [45.799472, 4.766555], [45.799886, 4.764322]]"
90.0,"[[45.803791, 4.774577], [45.807092, 4.770353], [45.806999, 4.770833], [45.80529, 4.77343], [45.80526, 4.773473]]"
91.0,"[[45.730816, 4.94934], [45.731039, 4.949599], [45.730853, 4.949619]]"
92.0,"[[45.731433, 4.949572], [45.731566, 4.949511], [45.73178, 4.949863], [45.731861, 4.950066], [45.731875, 4.95013], [45.73183, 4.950222], [45.731469, 4.950108]]"
93.0,"[[45.81685, 4.764219], [45.815401, 4.761191], [45.818206, 4.759676], [45.81858, 4.760402], [45.817658, 4.763444]]"
94.0,"[[45.7297, 4.953825], [45.729713, 4.953375], [45.730415, 4.95351], [45.729905, 4.954047]]"
95.0,"[[45.837566, 4.826916], [45.837475, 4.826963], [45.8375, 4.826944]]"
96.0,"[[45.815569, 4.769947], [45.816513, 4.768783], [45.817711, 4.769263], [45.817505, 4.769563], [45.816013, 4.770294]]"
97.0,"[[45.81884, 4.767197], [45.819296, 4.766854], [45.819393, 4.766896], [45.819401, 4.767175], [45.819094, 4.767347], [45.818967, 4.767411]]"
98.0,"[[45.729911, 4.951527], [45.729756, 4.951295], [45.729891, 4.951069], [45.729961, 4.951183], [45.729952, 4.951277]]"
99.0,"[[45.729675, 4.951588], [45.729438, 4.951558], [45.729498, 4.95155]]"
100.0,"[[45.7363, 4.934463], [45.731333, 4.931666], [45.73568, 4.93133], [45.738906, 4.932375], [45.7375, 4.933669]]"
101.0,
102.0,"[[45.820605, 4.766521], [45.820425, 4.766489], [45.820463, 4.766472]]"
103.0,"[[45.820441, 4.766158], [45.82053, 4.766113], [45.820575, 4.766355], [45.820481, 4.766258]]"
104.0,"[[45.732291, 4.95283], [45.732105, 4.952686], [45.732186, 4.952566], [45.732311, 4.952466], [45.732322, 4.952463], [45.732402, 4.952505], [45.732491, 4.952841]]"
105.0,"[[45.732594, 4.953055], [45.732941, 4.953133], [45.732947, 4.953455], [45.732941, 4.95358], [45.732777, 4.95365], [45.732598, 4.953306]]"
106.0,"[[45.710494, 4.837417], [45.712337, 4.834585], [45.712607, 4.834756], [45.712502, 4.835357], [45.712082, 4.836087], [45.711588, 4.836537]]"
107.0,"[[45.731139, 4.951722], [45.731108, 4.951916], [45.731019, 4.951911], [45.730914, 4.951651], [45.73104, 4.951608], [45.731065, 4.951625]]"
108.0,"[[45.731452, 4.95184], [45.731288, 4.951958], [45.73142, 4.951693]]"
109.0,"[[45.798833, 4.8075], [45.7935, 4.807833], [45.797915, 4.802366]]"
110.0,"[[45.731205, 4.953452], [45.731136, 4.953475], [45.731113, 4.953455], [45.731075, 4.953361], [45.731066, 4.953336], [45.731066, 4.953327], [45.731125, 4.953197], [45.731163, 4.953269]]"
111.0,"[[45.7309, 4.952848], [45.731086, 4.952788], [45.731169, 4.952811], [45.731183, 4.952998], [45.731052, 4.953011]]"
112.0,"[[45.73093, 4.952327], [45.730959, 4.952281], [45.731005, 4.952286], [45.730933, 4.952352]]"
113.0,
114.0,
115.0,
116.0,
117.0,
118.0,"[[45.730975, 4.951094], [45.73106, 4.951231], [45.731018, 4.951164]]"
119.0,"[[45.73083, 4.951191], [45.73095, 4.951094], [45.730975, 4.951094], [45.730936, 4.951153], [45.730883, 4.951208], [45.730831, 4.951196]]"
120.0,
121.0,"[[45.847897, 4.851994], [45.847911, 4.85198], [45.847922, 4.851988], [45.847925, 4.851994], [45.847911, 4.851997]]"
122.0,"[[45.847888, 4.85198], [45.847897, 4.852011], [45.84788, 4.852019], [45.847877, 4.852019], [45.847863, 4.851986], [45.847875, 4.85198]]"
123.0,"[[45.702708, 4.809069], [45.699945, 4.808009], [45.702223, 4.807484], [45.702755, 4.8075]]"
124.0,"[[45.702043, 4.80978], [45.700799, 4.811925], [45.700304, 4.811378], [45.69996, 4.810037], [45.700211, 4.809851]]"
125.0,"[[45.811138, 4.842011], [45.811216, 4.842307], [45.810919, 4.842344], [45.810913, 4.842305], [45.811011, 4.842094]]"
126.0,
127.0,"[[45.704396, 4.890031], [45.704789, 4.887443], [45.708888, 4.887777], [45.704995, 4.889785]]"
128.0,"[[45.77741, 4.767089], [45.776333, 4.767667], [45.7765, 4.766894], [45.776944, 4.76666]]"
129.0,"[[45.775507, 4.769203], [45.776167, 4.768], [45.775962, 4.768687]]"
130.0,"[[45.740688, 4.919966], [45.737907, 4.918141], [45.739832, 4.915995], [45.741202, 4.916112]]"
131.0,"[[45.768525, 4.76621], [45.768361, 4.767519], [45.767332, 4.767283], [45.765517, 4.76651], [45.761666, 4.761111], [45.766667, 4.763833]]"
132.0,"[[45.837261, 4.826333], [45.837263, 4.826402], [45.837258, 4.826452], [45.837202, 4.826444], [45.837188, 4.826397], [45.837197, 4.826352]]"
133.0,"[[45.815569, 4.847397], [45.815577, 4.847361], [45.815625, 4.847377], [45.815636, 4.847386], [45.815638, 4.847433], [45.815583, 4.847432]]"
134.0,"[[45.8157, 4.847641], [45.815558, 4.847611], [45.815586, 4.847486], [45.815686, 4.847605]]"
135.0,"[[45.837272, 4.826188], [45.837222, 4.826111], [45.837291, 4.826055], [45.837294, 4.82612]]"
136.0,"[[45.83718, 4.826702], [45.837197, 4.826661], [45.837216, 4.82665], [45.837225, 4.826647], [45.837277, 4.826638], [45.837277, 4.826716], [45.837258, 4.826775], [45.837255, 4.826777], [45.837213, 4.826752], [45.837191, 4.826736]]"
137.0,"[[45.7255, 4.921833], [45.722544, 4.921741], [45.727105, 4.9198], [45.727296, 4.919793], [45.727569, 4.92]]"
138.0,"[[45.837463, 4.826053], [45.837485, 4.826012], [45.837497, 4.826044], [45.837511, 4.826086], [45.837466, 4.826083]]"
139.0,"[[45.837545, 4.82613], [45.837563, 4.826086], [45.837591, 4.826138], [45.837572, 4.826177], [45.837561, 4.826177]]"
140.0,"[[45.837613, 4.826213], [45.837638, 4.826179], [45.837646, 4.826173], [45.837638, 4.826197], [45.837633, 4.826205]]"
141.0,"[[45.83741, 4.826163], [45.837419, 4.826127], [45.837438, 4.826152], [45.837447, 4.826205], [45.837418, 4.826184]]"
142.0,
143.0,
144.0,
145.0,
146.0,
147.0,"[[45.716626, 4.873732], [45.709685, 4.873509], [45.709745, 4.871331], [45.711798, 4.869582], [45.715837, 4.86993]]"
148.0,
149.0,"[[45.760651, 4.776207], [45.761916, 4.778007], [45.761572, 4.778398], [45.760816, 4.777486], [45.760734, 4.777314]]"
150.0,"[[45.760833, 4.775277], [45.760555, 4.775555], [45.760555, 4.774722], [45.760637, 4.774492], [45.760833, 4.774722]]"
151.0,"[[45.83743, 4.82644], [45.837418, 4.826409], [45.83744, 4.826388], [45.837458, 4.826408]]"
152.0,
153.0,"[[45.837441, 4.826477], [45.837477, 4.826508], [45.837475, 4.826513], [45.837411, 4.826505], [45.837427, 4.826488]]"
154.0,"[[45.837536, 4.826622], [45.837519, 4.826597], [45.837547, 4.826569], [45.837569, 4.826575], [45.837558, 4.826616]]"
155.0,"[[45.837463, 4.826592], [45.837475, 4.826591], [45.837486, 4.826611], [45.8375, 4.826641], [45.83747, 4.826613]]"
156.0,"[[45.83748, 4.826669], [45.8375, 4.826666], [45.8375, 4.826683], [45.837483, 4.826677]]"
157.0,"[[45.837569, 4.82653], [45.837583, 4.826486], [45.837586, 4.826513], [45.837572, 4.826533]]"
158.0,"[[45.837555, 4.826486], [45.83753, 4.826499], [45.837519, 4.826486], [45.837505, 4.826447], [45.837513, 4.826422], [45.837528, 4.826433], [45.837547, 4.826452]]"
159.0,"[[45.714111, 4.8839], [45.713883, 4.882669], [45.714261, 4.882138], [45.715305, 4.880827], [45.715513, 4.880933], [45.716961, 4.882216], [45.715864, 4.884823], [45.715122, 4.885911]]"
160.0,"[[45.756356, 4.910971], [45.75878, 4.913549], [45.757485, 4.916542], [45.756565, 4.91415], [45.756455, 4.913358]]"
161.0,
162.0,"[[45.71397, 4.899952], [45.71375, 4.901308], [45.712325, 4.902183], [45.712202, 4.902233], [45.713269, 4.900747]]"
163.0,"[[45.718, 4.8905], [45.718887, 4.891021], [45.718833, 4.891], [45.718392, 4.890751]]"
164.0,"[[45.764641, 4.923166], [45.764648, 4.923055], [45.765258, 4.923173], [45.765292, 4.923484], [45.76491, 4.923419]]"
165.0,"[[45.761097, 4.920898], [45.761272, 4.921852], [45.761056, 4.923419], [45.760113, 4.923634], [45.760427, 4.921338]]"
166.0,
167.0,
168.0,
169.0,
170.0,
171.0,"[[45.763813, 4.923858], [45.763894, 4.923861], [45.763888, 4.923888]]"
172.0,"[[45.717947, 4.895647], [45.718083, 4.895374], [45.718413, 4.895469], [45.718238, 4.895613], [45.717968, 4.89575]]"
173.0,"[[45.718963, 4.895444], [45.718797, 4.895441], [45.718752, 4.895394], [45.718644, 4.895222], [45.718661, 4.895177], [45.718872, 4.895027], [45.718911, 4.895088]]"
174.0,"[[45.718822, 4.894691], [45.718827, 4.894522], [45.718877, 4.894552], [45.718991, 4.894638], [45.718838, 4.894697], [45.718833, 4.894697], [45.718827, 4.894694]]"
175.0,"[[45.763644, 4.923883], [45.763611, 4.923833], [45.763638, 4.923861]]"
176.0,
177.0,
178.0,
179.0,
180.0,"[[45.785467, 4.793515], [45.786216, 4.793858], [45.784166, 4.794444], [45.784166, 4.794166], [45.785, 4.793638]]"
181.0,"[[45.759036, 4.927913], [45.759052, 4.927705], [45.759075, 4.927705], [45.759077, 4.927713], [45.759086, 4.927758], [45.759052, 4.927938]]"
182.0,"[[45.759086, 4.9282], [45.758991, 4.928391], [45.759016, 4.928086]]"
183.0,
184.0,
185.0,"[[45.789447, 4.797356], [45.787025, 4.799438], [45.787205, 4.795819], [45.788333, 4.796], [45.789166, 4.797]]"
186.0,"[[45.787712, 4.800796], [45.789469, 4.79992], [45.788556, 4.800671], [45.788399, 4.800757]]"
187.0,"[[45.740719, 4.792761], [45.73928, 4.79303], [45.740333, 4.791577], [45.740719, 4.792708]]"
188.0,"[[45.717725, 4.894724], [45.717736, 4.894711], [45.717763, 4.894713], [45.717827, 4.895005], [45.717825, 4.895011], [45.717794, 4.895058], [45.717786, 4.895063], [45.717661, 4.895027], [45.717652, 4.894863], [45.717652, 4.894855]]"
189.0,"[[45.734494, 4.798344], [45.736333, 4.797333], [45.736333, 4.798], [45.736103, 4.798417]]"
190.0,"[[45.736944, 4.795555], [45.7375, 4.794722], [45.737222, 4.795555]]"
191.0,
192.0,"[[45.766288, 4.907377], [45.766261, 4.907372], [45.766277, 4.90735], [45.766351, 4.907337], [45.766291, 4.907377]]"
193.0,"[[45.784823, 4.899387], [45.781972, 4.897715], [45.782687, 4.894961], [45.784629, 4.891029], [45.787157, 4.892499], [45.787846, 4.894151], [45.788474, 4.896919]]"
